trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.55, 'e': 0.9916000000000009}",20,0,-66.24059728257902,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.55, 'e': 0.991400000000001}",30,0,-155.18614433532147,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
44,False,"{'a': 0.55, 'e': 0.991200000000001}",30,0,-155.39085720572672,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
45,False,"{'a': 0.55, 'e': 0.991000000000001}",30,0,-140.02316664505648,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
46,False,"{'a': 0.55, 'e': 0.990800000000001}",30,0,-178.81872284839943,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
47,False,"{'a': 0.55, 'e': 0.990600000000001}",30,0,-105.24435574638277,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.55, 'e': 0.9904000000000011}",30,0,-196.20244985788608,"{0: 16, 1: 0, 2: 11, 3: 1, 4: 2}",0
49,False,"{'a': 0.55, 'e': 0.9902000000000011}",25,0,-142.87497532893534,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
50,False,"{'a': 0.55, 'e': 0.9900000000000011}",25,0,-313.3424912382436,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 5}",0
51,False,"{'a': 0.55, 'e': 0.9898000000000011}",20,0,-133.8757781128626,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
52,False,"{'a': 0.55, 'e': 0.9896000000000011}",35,21,-69.02375184405959,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
53,False,"{'a': 0.55, 'e': 0.9894000000000012}",25,0,-90.00803920115783,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.55, 'e': 0.9892000000000012}",25,0,-193.8511908945867,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
55,False,"{'a': 0.55, 'e': 0.9890000000000012}",20,0,-73.8426909543565,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
56,False,"{'a': 0.55, 'e': 0.9888000000000012}",20,0,-166.01639900524455,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
57,False,"{'a': 0.55, 'e': 0.9886000000000013}",20,0,-116.01009945614177,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
58,False,"{'a': 0.55, 'e': 0.9884000000000013}",20,0,-220.15469054880958,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
59,False,"{'a': 0.55, 'e': 0.9882000000000013}",20,0,-140.59643217069137,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
60,False,"{'a': 0.55, 'e': 0.9880000000000013}",30,8,-201.03585442996908,"{0: 7, 1: 7, 2: 4, 3: 1, 4: 3}",1
61,False,"{'a': 0.55, 'e': 0.9878000000000013}",20,0,-119.97052327003597,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
62,False,"{'a': 0.55, 'e': 0.9876000000000014}",25,0,-62.59575951573324,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
63,False,"{'a': 0.55, 'e': 0.9874000000000014}",20,9,-42.532977616225395,"{0: 5, 1: 4, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.55, 'e': 0.9872000000000014}",20,0,-70.27091220119075,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
65,False,"{'a': 0.55, 'e': 0.9870000000000014}",20,0,-161.4862479652149,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
66,False,"{'a': 0.55, 'e': 0.9868000000000015}",30,0,-133.8102698542925,"{0: 17, 1: 7, 2: 4, 3: 0, 4: 2}",0
67,False,"{'a': 0.55, 'e': 0.9866000000000015}",25,0,-34.77497376716725,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.55, 'e': 0.9864000000000015}",25,0,-147.17749866426237,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
69,False,"{'a': 0.55, 'e': 0.9862000000000015}",30,0,-205.07558152413782,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
70,False,"{'a': 0.55, 'e': 0.9860000000000015}",20,0,-131.36138432708424,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
71,False,"{'a': 0.55, 'e': 0.9858000000000016}",25,0,-129.81318253003244,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
72,False,"{'a': 0.55, 'e': 0.9856000000000016}",25,0,-136.49254469870368,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
73,False,"{'a': 0.55, 'e': 0.9854000000000016}",20,2,-5.611255832369672,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.55, 'e': 0.9852000000000016}",25,0,-78.97176887494675,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.55, 'e': 0.9850000000000017}",20,0,-36.50481623240289,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
76,False,"{'a': 0.55, 'e': 0.9848000000000017}",20,0,-15.10527505981641,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.55, 'e': 0.9846000000000017}",20,0,-139.3814616010654,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.55, 'e': 0.9844000000000017}",30,0,-155.62991941811313,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
79,False,"{'a': 0.55, 'e': 0.9842000000000017}",25,0,-231.6726018852159,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
80,False,"{'a': 0.55, 'e': 0.9840000000000018}",20,0,-58.33069614572463,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
81,False,"{'a': 0.55, 'e': 0.9838000000000018}",25,0,-101.92918848619105,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.55, 'e': 0.9836000000000018}",20,13,1.8875770488360395,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.55, 'e': 0.9834000000000018}",20,0,-65.51082432334815,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
84,False,"{'a': 0.55, 'e': 0.9832000000000019}",25,10,-102.07653349226925,"{0: 6, 1: 2, 2: 6, 3: 0, 4: 1}",1
85,False,"{'a': 0.55, 'e': 0.9830000000000019}",20,0,-146.38368668322389,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
86,False,"{'a': 0.55, 'e': 0.9828000000000019}",30,0,-190.39393633361817,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
87,False,"{'a': 0.55, 'e': 0.9826000000000019}",20,0,-99.33467283483614,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
88,False,"{'a': 0.55, 'e': 0.9824000000000019}",25,0,-114.26072264884893,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
89,False,"{'a': 0.55, 'e': 0.982200000000002}",20,0,-101.33956523647639,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.55, 'e': 0.982000000000002}",25,0,-46.88497595350016,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.55, 'e': 0.981800000000002}",20,0,-111.4513660684637,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
92,False,"{'a': 0.55, 'e': 0.981600000000002}",20,0,-104.06155071903181,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
93,False,"{'a': 0.55, 'e': 0.981400000000002}",20,0,-59.19803109644458,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
94,False,"{'a': 0.55, 'e': 0.9812000000000021}",20,0,-42.95142078772503,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
95,False,"{'a': 0.55, 'e': 0.9810000000000021}",20,0,-118.37455358486179,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
96,False,"{'a': 0.55, 'e': 0.9808000000000021}",35,3,-130.28211162669564,"{0: 17, 1: 3, 2: 10, 3: 2, 4: 0}",1
97,False,"{'a': 0.55, 'e': 0.9806000000000021}",25,0,-125.73604663853222,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
98,False,"{'a': 0.55, 'e': 0.9804000000000022}",25,0,-170.75597203293114,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
99,False,"{'a': 0.55, 'e': 0.9802000000000022}",30,0,-132.42161044131308,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
100,False,"{'a': 0.55, 'e': 0.9800000000000022}",25,0,-67.1406161344272,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.55, 'e': 0.9798000000000022}",30,0,-90.7829526295584,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
102,False,"{'a': 0.55, 'e': 0.9796000000000022}",30,0,-138.55715834000927,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
103,False,"{'a': 0.55, 'e': 0.9794000000000023}",30,0,-234.70900984735974,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
104,False,"{'a': 0.55, 'e': 0.9792000000000023}",25,0,-216.8420602338176,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
105,False,"{'a': 0.55, 'e': 0.9790000000000023}",20,0,-119.49346607682125,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
106,False,"{'a': 0.55, 'e': 0.9788000000000023}",25,0,-113.50048880406888,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
